,lemmas,real phrases,generated phrases
280,"niños, jugar, fútbol",Los niños juegan al fútbol.,Los niños juegan fútbol
281,"planta, crecer",La planta creció.,La planta crece
282,"niño, nadar, en, piscina",El niño nada en la piscina.,El niño nadó en la piscina
283,"niña, pensar, bombilla",La niña piensa en una bombilla.,"La niña piensa en el bombilla
"
284,"niña, aplaudir, pies",La niña aplaude con los pies.,La niña aplaude con los pies
285,"niña, columpiar, columpio",La niña se columpia en el columpio.,La niña columpia en el columpio
286,"delfines, tortuga, nadar, en, mar",Los delfines y la tortuga nadan en el mar.,Los delfines nadan en el mar
287,"gallo, cantar, mañana",El gallo canta por la mañana.,El gallo canta mañana
288,"ogro, tener, un, arpa, mágico",El ogro tenía un arpa mágica.,El ogro tiene una arpa mágica
289,"pájaro, volar, cielo",El pájaro vuela por el cielo.,El pájaro vuela en el cielo
